Gene,Description
Agap3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 OS=Mus musculus GN=Agap3 PE=1 SV=1"
Agbl4,Cytosolic carboxypeptidase 6 OS=Mus musculus OX=10090 GN=Agbl4 PE=1 SV=1
Agfg1,Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus GN=Agfg1 PE=1 SV=2
Agfg2,Arf-GAP domain and FG repeat-containing protein 2 OS=Mus musculus GN=Agfg2 PE=1 SV=1
Agk,"Acylglycerol kinase, mitochondrial OS=Mus musculus GN=Agk PE=1 SV=1"
Ago1,Protein argonaute-1 OS=Mus musculus GN=Ago1 PE=1 SV=2
Ago2,Protein argonaute-2 OS=Mus musculus GN=Ago2 PE=1 SV=3
Ago3,Protein argonaute-3 OS=Mus musculus GN=Ago3 PE=2 SV=2
Agpat1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Mus musculus GN=Agpat1 PE=1 SV=1
Agpat3,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus GN=Agpat3 PE=1 SV=2
Agpat4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Mus musculus GN=Agpat4 PE=1 SV=1
Agpat5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Mus musculus GN=Agpat5 PE=2 SV=2
Agps,"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Mus musculus GN=Agps PE=1 SV=1"
Agrn,Agrin OS=Mus musculus GN=Agrn PE=2 SV=1
Agrp,Agouti-related protein OS=Mus musculus OX=10090 GN=Agrp PE=1 SV=1
Agt,Angiotensinogen OS=Mus musculus OX=10090 GN=Agt PE=1 SV=1
Agtpbp1,Cytosolic carboxypeptidase 1 OS=Mus musculus GN=Agtpbp1 PE=2 SV=2
Agtrap,Type-1 angiotensin II receptor-associated protein OS=Mus musculus OX=10090 GN=Agtrap PE=1 SV=2
Ahctf1,Protein ELYS OS=Mus musculus OX=10090 GN=Ahctf1 PE=1 SV=1
Ahcy,Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=1 SV=3
Ahcyl1,Putative adenosylhomocysteinase 2 OS=Mus musculus GN=Ahcyl1 PE=1 SV=1
Ahcyl2,Putative adenosylhomocysteinase 3 OS=Mus musculus GN=Ahcyl2 PE=1 SV=1
Ahdc1,AT-hook DNA-binding motif-containing protein 1 OS=Mus musculus OX=10090 GN=Ahdc1 PE=1 SV=1
Ahi1,Jouberin OS=Mus musculus GN=Ahi1 PE=1 SV=2
Ahsa1,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus GN=Ahsa1 PE=1 SV=2
Ahsa2,Activator of 90 kDa heat shock protein ATPase homolog 2 OS=Mus musculus GN=Ahsa2 PE=1 SV=2
Ahsg,Alpha-2-HS-glycoprotein OS=Mus musculus GN=Ahsg PE=1 SV=1
Aida,"Axin interactor, dorsalization-associated protein OS=Mus musculus GN=Aida PE=1 SV=1"
Aif1,Allograft inflammatory factor 1 OS=Mus musculus OX=10090 GN=Aif1 PE=1 SV=1
Aif1l,Allograft inflammatory factor 1-like OS=Mus musculus OX=10090 GN=Aif1l PE=1 SV=1
Aifm1,"Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus GN=Aifm1 PE=1 SV=1"
Aifm2,Apoptosis-inducing factor 2 OS=Mus musculus OX=10090 GN=Aifm2 PE=1 SV=1
Aifm3,Apoptosis-inducing factor 3 OS=Mus musculus GN=Aifm3 PE=1 SV=1
Aig1,Androgen-induced gene 1 protein OS=Mus musculus OX=10090 GN=Aig1 PE=2 SV=1
Aim2,Interferon-inducible protein AIM2 OS=Mus musculus OX=10090 GN=Aim2 PE=1 SV=2
Aimp1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus GN=Aimp1 PE=1 SV=2
Aimp2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Mus musculus GN=Aimp2 PE=1 SV=2
Aip,AH receptor-interacting protein OS=Mus musculus GN=Aip PE=1 SV=1
Ajap1,Adherens junction-associated protein 1 OS=Mus musculus OX=10090 GN=Ajap1 PE=2 SV=1
Ajm1,Apical junction component 1 homolog OS=Mus musculus OX=10090 GN=Ajm1 PE=1 SV=1
Ak1,Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1
Ak2,"Adenylate kinase 2, mitochondrial OS=Mus musculus GN=Ak2 PE=1 SV=5"
Ak3,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Mus musculus GN=Ak3 PE=1 SV=3"
Ak4,"Adenylate kinase 4, mitochondrial OS=Mus musculus GN=Ak4 PE=1 SV=1"
Ak5,Adenylate kinase isoenzyme 5 OS=Mus musculus GN=Ak5 PE=1 SV=2
Akap1,"A-kinase anchor protein 1, mitochondrial OS=Mus musculus GN=Akap1 PE=1 SV=4"
Akap10,"A-kinase anchor protein 10, mitochondrial OS=Mus musculus GN=Akap10 PE=1 SV=3"
Akap12,A-kinase anchor protein 12 OS=Mus musculus GN=Akap12 PE=1 SV=1
Akap13,A-kinase anchor protein 13 OS=Mus musculus OX=10090 GN=Akap13 PE=1 SV=1
Akap17b,A-kinase anchor protein 17B OS=Mus musculus OX=10090 GN=Akap17b PE=1 SV=2
Akap2,A-kinase anchor protein 2 OS=Mus musculus GN=Akap2 PE=1 SV=3
Akap4,A-kinase anchor protein 4 OS=Mus musculus OX=10090 GN=Akap4 PE=1 SV=1
Akap5,A-kinase anchor protein 5 OS=Mus musculus GN=Akap5 PE=1 SV=2
Akap7,A-kinase anchor protein 7 isoform alpha OS=Mus musculus GN=Akap7 PE=1 SV=4
Akap8,A-kinase anchor protein 8 OS=Mus musculus OX=10090 GN=Akap8 PE=1 SV=1
Akap8l,A-kinase anchor protein 8-like OS=Mus musculus OX=10090 GN=Akap8l PE=1 SV=1
Akap9,A-kinase anchor protein 9 OS=Mus musculus GN=Akap9 PE=1 SV=2
Akip1,A-kinase-interacting protein 1 OS=Mus musculus GN=Akip1 PE=2 SV=1
Akr1a1,Alcohol dehydrogenase [NADP(+)] OS=Mus musculus GN=Akr1a1 PE=1 SV=3
Akr1b1,Aldo-keto reductase family 1 member B1 OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3
Akr1b7,Aldo-keto reductase family 1 member B7 OS=Mus musculus OX=10090 GN=Akr1b7 PE=1 SV=4
Akr1b8,Aldose reductase-related protein 2 OS=Mus musculus OX=10090 GN=Akr1b8 PE=1 SV=2
Akr1c13,Aldo-keto reductase family 1 member C13 OS=Mus musculus OX=10090 GN=Akr1c13 PE=1 SV=2
Akr1c18,Aldo-keto reductase family 1 member C18 OS=Mus musculus OX=10090 GN=Akr1c18 PE=1 SV=2
Akr1c6,Estradiol 17 beta-dehydrogenase 5 OS=Mus musculus OX=10090 GN=Akr1c6 PE=1 SV=1
Akr1e2,"1,5-anhydro-D-fructose reductase OS=Mus musculus GN=Akr1e2 PE=1 SV=1"
Akr7a2,Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus GN=Akr7a2 PE=1 SV=2
Akt1,RAC-alpha serine/threonine-protein kinase OS=Mus musculus GN=Akt1 PE=1 SV=2
Akt1s1,Proline-rich AKT1 substrate 1 OS=Mus musculus OX=10090 GN=Akt1s1 PE=1 SV=1
Akt2,RAC-beta serine/threonine-protein kinase OS=Mus musculus GN=Akt2 PE=1 SV=1
Akt3,RAC-gamma serine/threonine-protein kinase OS=Mus musculus GN=Akt3 PE=1 SV=1
Aktip,AKT-interacting protein OS=Mus musculus GN=Aktip PE=1 SV=1
Alad,Delta-aminolevulinic acid dehydratase OS=Mus musculus GN=Alad PE=1 SV=1
Alb,Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2;Serum albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3
Alcam,CD166 antigen OS=Mus musculus GN=Alcam PE=1 SV=3
Aldh16a1,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=2
Aldh18a1,Delta-1-pyrroline-5-carboxylate synthase OS=Mus musculus GN=Aldh18a1 PE=1 SV=2
Aldh1a1,Retinal dehydrogenase 1 OS=Mus musculus GN=Aldh1a1 PE=1 SV=5
Aldh1a2,Retinal dehydrogenase 2 OS=Mus musculus GN=Aldh1a2 PE=1 SV=2
Aldh1a7,"Aldehyde dehydrogenase, cytosolic 1 OS=Mus musculus GN=Aldh1a7 PE=1 SV=1"
Aldh1b1,"Aldehyde dehydrogenase X, mitochondrial OS=Mus musculus GN=Aldh1b1 PE=1 SV=1"
Aldh1l1,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus GN=Aldh1l1 PE=1 SV=1
Aldh1l2,Mitochondrial 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus GN=Aldh1l2 PE=1 SV=2
Aldh2,"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1"
Aldh3a1,"Aldehyde dehydrogenase, dimeric NADP-preferring OS=Mus musculus OX=10090 GN=Aldh3a1 PE=1 SV=2"
Aldh3a2,Aldehyde dehydrogenase family 3 member A2 OS=Mus musculus OX=10090 GN=Aldh3a2 PE=1 SV=2
Aldh3b1,Aldehyde dehydrogenase family 3 member B1 OS=Mus musculus OX=10090 GN=Aldh3b1 PE=1 SV=1
Aldh3b3,Aldehyde dehydrogenase family 3 member B3 OS=Mus musculus OX=10090 GN=Aldh3b3 PE=1 SV=1
Aldh4a1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=2"
Aldh5a1,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh5a1 PE=1 SV=1"
Aldh6a1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1"
Aldh7a1,Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus GN=Aldh7a1 PE=1 SV=4
Aldh9a1,4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus GN=Aldh9a1 PE=1 SV=1
Aldoa,Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2
Aldob,Fructose-bisphosphate aldolase B OS=Mus musculus GN=Aldob PE=1 SV=3
Aldoc,Fructose-bisphosphate aldolase C OS=Mus musculus GN=Aldoc PE=1 SV=4
Alg1,Chitobiosyldiphosphodolichol beta-mannosyltransferase OS=Mus musculus OX=10090 GN=Alg1 PE=1 SV=3
Alg10b,"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase OS=Mus musculus OX=10090 GN=Alg10b PE=1 SV=1"
Alg11,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Mus musculus GN=Alg11 PE=2 SV=1"
Alg12,"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase OS=Mus musculus OX=10090 GN=Alg12 PE=2 SV=2"
Alg14,UDP-N-acetylglucosamine transferase subunit ALG14 homolog OS=Mus musculus OX=10090 GN=Alg14 PE=1 SV=1
Alg2,"Alpha-1,3/1,6-mannosyltransferase ALG2 OS=Mus musculus GN=Alg2 PE=1 SV=2"
Alg3,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase OS=Mus musculus OX=10090 GN=Alg3 PE=1 SV=2"
Alg5,Dolichyl-phosphate beta-glucosyltransferase OS=Mus musculus GN=Alg5 PE=1 SV=1
Alg9,"Alpha-1,2-mannosyltransferase ALG9 OS=Mus musculus OX=10090 GN=Alg9 PE=2 SV=1"
Alk,ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=2 SV=1
Alkbh3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Mus musculus OX=10090 GN=Alkbh3 PE=1 SV=1
Alkbh5,RNA demethylase ALKBH5 OS=Mus musculus OX=10090 GN=Alkbh5 PE=1 SV=2
Alkbh6,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6 OS=Mus musculus GN=Alkbh6 PE=2 SV=3
Alkbh8,Alkylated DNA repair protein alkB homolog 8 OS=Mus musculus OX=10090 GN=Alkbh8 PE=1 SV=1
Alms1,Alstrom syndrome protein 1 homolog OS=Mus musculus GN=Alms1 PE=1 SV=1
Alox5ap,Arachidonate 5-lipoxygenase-activating protein OS=Mus musculus OX=10090 GN=Alox5ap PE=1 SV=2
Aloxe3,Hydroperoxide isomerase ALOXE3 OS=Mus musculus OX=10090 GN=Aloxe3 PE=1 SV=2
Alpk1,Alpha-protein kinase 1 OS=Mus musculus OX=10090 GN=Alpk1 PE=2 SV=2
Alpk3,Alpha-protein kinase 3 OS=Mus musculus OX=10090 GN=Alpk3 PE=1 SV=1
Alpl,"Alkaline phosphatase, tissue-nonspecific isozyme OS=Mus musculus OX=10090 GN=Alpl PE=1 SV=2"
Als2,Alsin OS=Mus musculus GN=Als2 PE=1 SV=3
Alyref,THO complex subunit 4 OS=Mus musculus OX=10090 GN=Alyref PE=1 SV=3
Alyref2,Aly/REF export factor 2 OS=Mus musculus OX=10090 GN=Alyref2 PE=1 SV=1
Amacr,Alpha-methylacyl-CoA racemase OS=Mus musculus GN=Amacr PE=1 SV=4
Ambp,Protein AMBP OS=Mus musculus OX=10090 GN=Ambp PE=1 SV=2
Ambra1,Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=Ambra1 PE=1 SV=1
Amd1,S-adenosylmethionine decarboxylase proenzyme 1 OS=Mus musculus GN=Amd1 PE=1 SV=1
Amdhd2,N-acetylglucosamine-6-phosphate deacetylase OS=Mus musculus OX=10090 GN=Amdhd2 PE=1 SV=1
Amer2,APC membrane recruitment protein 2 OS=Mus musculus GN=Amer2 PE=1 SV=2
Amer3,APC membrane recruitment protein 3 OS=Mus musculus OX=10090 GN=Amer3 PE=2 SV=1
Amfr,Autocrine motility factor receptor OS=Mus musculus GN=Amfr PE=1 SV=2
Amigo1,Amphoterin-induced protein 1 OS=Mus musculus GN=Amigo1 PE=1 SV=1
Amigo2,Amphoterin-induced protein 2 OS=Mus musculus OX=10090 GN=Amigo2 PE=1 SV=1
Amot,Angiomotin OS=Mus musculus OX=10090 GN=Amot PE=1 SV=3
Amotl1,Angiomotin-like protein 1 OS=Mus musculus OX=10090 GN=Amotl1 PE=1 SV=2
Ampd1,AMP deaminase 1 OS=Mus musculus OX=10090 GN=Ampd1 PE=1 SV=2
Ampd2,AMP deaminase 2 OS=Mus musculus GN=Ampd2 PE=1 SV=1
Ampd3,AMP deaminase 3 OS=Mus musculus GN=Ampd3 PE=1 SV=2
Amph,Amphiphysin OS=Mus musculus GN=Amph PE=1 SV=1
Amt,"Aminomethyltransferase, mitochondrial OS=Mus musculus GN=Amt PE=1 SV=1"
Amz2,Archaemetzincin-2 OS=Mus musculus GN=Amz2 PE=2 SV=1
Anapc1,Anaphase-promoting complex subunit 1 OS=Mus musculus GN=Anapc1 PE=1 SV=1
Anapc10,Anaphase-promoting complex subunit 10 OS=Mus musculus OX=10090 GN=Anapc10 PE=1 SV=1
Anapc11,Anaphase-promoting complex subunit 11 OS=Mus musculus OX=10090 GN=Anapc11 PE=3 SV=1
Anapc2,Anaphase-promoting complex subunit 2 OS=Mus musculus GN=Anapc2 PE=1 SV=2
Anapc4,Anaphase-promoting complex subunit 4 OS=Mus musculus GN=Anapc4 PE=2 SV=1
Anapc5,Anaphase-promoting complex subunit 5 OS=Mus musculus GN=Anapc5 PE=2 SV=1
Anapc7,Anaphase-promoting complex subunit 7 OS=Mus musculus OX=10090 GN=Anapc7 PE=1 SV=3
Ang2,Angiogenin-2 OS=Mus musculus OX=10090 GN=Ang2 PE=1 SV=2
Angel1,Protein angel homolog 1 OS=Mus musculus OX=10090 GN=Angel1 PE=1 SV=2
Angel2,Protein angel homolog 2 OS=Mus musculus GN=Angel2 PE=2 SV=1
Ank1,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=2
Ank2,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2
Ank3,Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1
Ankdd1b,Ankyrin repeat and death domain-containing protein 1B OS=Mus musculus GN=Ankdd1b PE=2 SV=3
Ankfy1,Ankyrin repeat and FYVE domain-containing protein 1 OS=Mus musculus GN=Ankfy1 PE=2 SV=1
Ankh,Progressive ankylosis protein OS=Mus musculus OX=10090 GN=Ankh PE=2 SV=1
Ankib1,Ankyrin repeat and IBR domain-containing protein 1 OS=Mus musculus GN=Ankib1 PE=1 SV=2
Ankle2,Ankyrin repeat and LEM domain-containing protein 2 OS=Mus musculus GN=Ankle2 PE=2 SV=2
Ankmy2,Ankyrin repeat and MYND domain-containing protein 2 OS=Mus musculus GN=Ankmy2 PE=1 SV=1
Ankrd11,Ankyrin repeat domain-containing protein 11 OS=Mus musculus OX=10090 GN=Ankrd11 PE=1 SV=1
Ankrd13a,Ankyrin repeat domain-containing protein 13A OS=Mus musculus GN=Ankrd13a PE=1 SV=2
Ankrd13b,Ankyrin repeat domain-containing protein 13B OS=Mus musculus OX=10090 GN=Ankrd13b PE=2 SV=1
Ankrd13c,Ankyrin repeat domain-containing protein 13C OS=Mus musculus GN=Ankrd13c PE=1 SV=2
Ankrd13d,Ankyrin repeat domain-containing protein 13D OS=Mus musculus GN=Ankrd13d PE=1 SV=2
Ankrd17,Ankyrin repeat domain-containing protein 17 OS=Mus musculus GN=Ankrd17 PE=1 SV=2
Ankrd24,Ankyrin repeat domain-containing protein 24 OS=Mus musculus OX=10090 GN=Ankrd24 PE=2 SV=4
Ankrd26,Ankyrin repeat domain-containing protein 26 OS=Mus musculus OX=10090 GN=Ankrd26 PE=1 SV=2
Ankrd27,Ankyrin repeat domain-containing protein 27 OS=Mus musculus OX=10090 GN=Ankrd27 PE=1 SV=2
Ankrd28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Mus musculus GN=Ankrd28 PE=1 SV=1
Ankrd33b,Ankyrin repeat domain-containing protein 33B OS=Mus musculus OX=10090 GN=Ankrd33b PE=1 SV=1
Ankrd34b,Ankyrin repeat domain-containing protein 34B OS=Mus musculus OX=10090 GN=Ankrd34b PE=1 SV=1
Ankrd34c,Ankyrin repeat domain-containing protein 34C OS=Mus musculus OX=10090 GN=Ankrd34c PE=1 SV=1
Ankrd40,Ankyrin repeat domain-containing protein 40 OS=Mus musculus OX=10090 GN=Ankrd40 PE=1 SV=1
Ankrd44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Mus musculus OX=10090 GN=Ankrd44 PE=1 SV=1
Ankrd46,Ankyrin repeat domain-containing protein 46 OS=Mus musculus GN=Ankrd46 PE=1 SV=1
Ankrd49,Ankyrin repeat domain-containing protein 49 OS=Mus musculus OX=10090 GN=Ankrd49 PE=1 SV=1
Ankrd52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Mus musculus OX=10090 GN=Ankrd52 PE=1 SV=1
Ankrd6,Ankyrin repeat domain-containing protein 6 OS=Mus musculus GN=Ankrd6 PE=1 SV=2
Ankrd63,Ankyrin repeat domain-containing protein 63 OS=Mus musculus GN=Ankrd63 PE=1 SV=1
Anks1a,Ankyrin repeat and SAM domain-containing protein 1A OS=Mus musculus GN=Anks1a PE=1 SV=3
Anks1b,Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Mus musculus GN=Anks1b PE=1 SV=2
Ankzf1,Ankyrin repeat and zinc finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ankzf1 PE=1 SV=2
Anln,Anillin OS=Mus musculus OX=10090 GN=Anln PE=1 SV=2
Ano1,Anoctamin-1 OS=Mus musculus OX=10090 GN=Ano1 PE=1 SV=2
Ano10,Anoctamin-10 OS=Mus musculus GN=Ano10 PE=1 SV=1
Ano2,Anoctamin-2 OS=Mus musculus GN=Ano2 PE=1 SV=2
Ano3,Anoctamin-3 OS=Mus musculus OX=10090 GN=Ano3 PE=1 SV=1
Ano4,Anoctamin-4 OS=Mus musculus OX=10090 GN=Ano4 PE=1 SV=2
Ano6,Anoctamin-6 OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1
Ano8,Anoctamin-8 OS=Mus musculus GN=Ano8 PE=1 SV=3
Anp32a,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus GN=Anp32a PE=1 SV=1
Anp32b,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus GN=Anp32b PE=1 SV=1
Anp32c,Putative acidic leucine-rich nuclear phosphoprotein 32 family member C OS=Mus musculus GN=Anp32c PE=2 SV=3
Anp32e,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Mus musculus GN=Anp32e PE=1 SV=2
Anpep,Aminopeptidase N OS=Mus musculus OX=10090 GN=Anpep PE=1 SV=4
Antkmt,Adenine nucleotide translocase lysine N-methyltransferase OS=Mus musculus OX=10090 GN=Antkmt PE=1 SV=1
Antxr1,Anthrax toxin receptor 1 OS=Mus musculus OX=10090 GN=Antxr1 PE=1 SV=2
Anxa1,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2
Anxa11,Annexin A11 OS=Mus musculus GN=Anxa11 PE=1 SV=2
Anxa2,Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2
Anxa3,Annexin A3 OS=Mus musculus OX=10090 GN=Anxa3 PE=1 SV=4
Anxa4,Annexin A4 OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=4
Anxa5,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1
Anxa6,Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=2
Anxa7,Annexin A7 OS=Mus musculus GN=Anxa7 PE=1 SV=2
Aoc3,Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3
Aopep,Aminopeptidase O OS=Mus musculus OX=10090 GN=Aopep PE=2 SV=2
Aox1,Aldehyde oxidase 1 OS=Mus musculus OX=10090 GN=Aox1 PE=1 SV=2
Aox3,Aldehyde oxidase 3 OS=Mus musculus GN=Aox3 PE=1 SV=1
Ap1b1,AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=1 SV=2
Ap1g1,AP-1 complex subunit gamma-1 OS=Mus musculus GN=Ap1g1 PE=1 SV=3
Ap1g2,AP-1 complex subunit gamma-like 2 OS=Mus musculus OX=10090 GN=Ap1g2 PE=1 SV=2
Ap1m1,AP-1 complex subunit mu-1 OS=Mus musculus GN=Ap1m1 PE=1 SV=3
Ap1m2,AP-1 complex subunit mu-2 OS=Mus musculus OX=10090 GN=Ap1m2 PE=1 SV=3
Ap1s1,AP-1 complex subunit sigma-1A OS=Mus musculus GN=Ap1s1 PE=1 SV=1
Ap1s2,AP-1 complex subunit sigma-2 OS=Mus musculus GN=Ap1s2 PE=1 SV=1
Ap2a1,AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 PE=1 SV=1
Ap2a2,AP-2 complex subunit alpha-2 OS=Mus musculus GN=Ap2a2 PE=1 SV=1
Ap2b1,AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2;AP-2 complex subunit beta OS=Mus musculus OX=10090 GN=Ap2b1 PE=1 SV=1
Ap2m1,AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=1 SV=1
Ap2s1,AP-2 complex subunit sigma OS=Mus musculus GN=Ap2s1 PE=1 SV=1
Ap3b1,AP-3 complex subunit beta-1 OS=Mus musculus GN=Ap3b1 PE=1 SV=2
Ap3b2,AP-3 complex subunit beta-2 OS=Mus musculus GN=Ap3b2 PE=1 SV=2
Ap3d1,AP-3 complex subunit delta-1 OS=Mus musculus GN=Ap3d1 PE=1 SV=1
Ap3m1,AP-3 complex subunit mu-1 OS=Mus musculus GN=Ap3m1 PE=1 SV=1
Ap3m2,AP-3 complex subunit mu-2 OS=Mus musculus GN=Ap3m2 PE=1 SV=1
Ap3s1,AP-3 complex subunit sigma-1 OS=Mus musculus GN=Ap3s1 PE=1 SV=2
Ap3s2,AP-3 complex subunit sigma-2 OS=Mus musculus GN=Ap3s2 PE=1 SV=1
Ap4b1,AP-4 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap4b1 PE=1 SV=2
Ap4e1,AP-4 complex subunit epsilon-1 OS=Mus musculus OX=10090 GN=Ap4e1 PE=1 SV=3
Ap4m1,AP-4 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap4m1 PE=1 SV=1
Ap4s1,AP-4 complex subunit sigma-1 OS=Mus musculus OX=10090 GN=Ap4s1 PE=2 SV=1
Ap5b1,AP-5 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap5b1 PE=1 SV=1
Ap5m1,AP-5 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap5m1 PE=1 SV=2
Ap5z1,AP-5 complex subunit zeta-1 OS=Mus musculus OX=10090 GN=Ap5z1 PE=2 SV=1
Apaf1,Apoptotic protease-activating factor 1 OS=Mus musculus OX=10090 GN=Apaf1 PE=1 SV=3
Apba1,Amyloid beta A4 precursor protein-binding family A member 1 OS=Mus musculus GN=Apba1 PE=1 SV=2
Apba2,Amyloid beta A4 precursor protein-binding family A member 2 OS=Mus musculus GN=Apba2 PE=1 SV=2
Apba3,Amyloid-beta A4 precursor protein-binding family A member 3 OS=Mus musculus OX=10090 GN=Apba3 PE=1 SV=1
Apbb1,Amyloid beta A4 precursor protein-binding family B member 1 OS=Mus musculus GN=Apbb1 PE=1 SV=2
Apbb1ip,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein OS=Mus musculus GN=Apbb1ip PE=1 SV=2
Apbb2,Amyloid-beta A4 precursor protein-binding family B member 2 OS=Mus musculus OX=10090 GN=Apbb2 PE=1 SV=2
Apbb3,Amyloid-beta A4 precursor protein-binding family B member 3 OS=Mus musculus OX=10090 GN=Apbb3 PE=2 SV=1
Apc,Adenomatous polyposis coli protein OS=Mus musculus GN=Apc PE=1 SV=1
Apc2,Adenomatous polyposis coli protein 2 OS=Mus musculus GN=Apc2 PE=1 SV=1
Apcs,Serum amyloid P-component OS=Mus musculus GN=Apcs PE=1 SV=2
Apeh,Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh PE=2 SV=3
Apex1,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus GN=Apex1 PE=1 SV=2
Aph1a,Gamma-secretase subunit APH-1A OS=Mus musculus OX=10090 GN=Aph1a PE=1 SV=2
Api5,Apoptosis inhibitor 5 OS=Mus musculus GN=Api5 PE=1 SV=2
Apip,Methylthioribulose-1-phosphate dehydratase OS=Mus musculus OX=10090 GN=Apip PE=1 SV=1
Aplp1,Amyloid-like protein 1 OS=Mus musculus GN=Aplp1 PE=1 SV=1
Aplp2,Amyloid-like protein 2 OS=Mus musculus GN=Aplp2 PE=1 SV=4
Apmap,Adipocyte plasma membrane-associated protein OS=Mus musculus GN=Apmap PE=1 SV=1
Apoa1,Apolipoprotein A-I OS=Mus musculus GN=Apoa1 PE=1 SV=1
Apoa2,Apolipoprotein A-II OS=Mus musculus OX=10090 GN=Apoa2 PE=1 SV=2
Apoa4,Apolipoprotein A-IV OS=Mus musculus OX=10090 GN=Apoa4 PE=1 SV=3
Apoa5,Apolipoprotein A-V OS=Mus musculus GN=Apoa5 PE=2 SV=1
Apob,Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1
Apoc1,Apolipoprotein C-I OS=Mus musculus OX=10090 GN=Apoc1 PE=1 SV=1
